дата,ряд,показатель,значение,единица,источник_файл,флаг
2022-12-01,BAFA пограничная цена,Menge,230034.0,ТДж,egas_aufkommen_export_1999.xlsx,
2021-12-01,BAFA пограничная цена,Preis Euro/TJ,14973.0,EUR/ТДж,egas_aufkommen_export_1999.xlsx,
2021-12-01,BAFA пограничная цена,Menge,403363.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-01-01,BAFA пограничная цена,Preis Euro/TJ,19.83407317080758,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-01-01,BAFA пограничная цена,Menge,321467.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-02-01,BAFA пограничная цена,Preis Euro/TJ,18.26594629069746,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-02-01,BAFA пограничная цена,Menge,326126.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-03-01,BAFA пограничная цена,Preis Euro/TJ,16.766790162699568,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-03-01,BAFA пограничная цена,Menge,374371.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-04-01,BAFA пограничная цена,Preis Euro/TJ,18.169811092127425,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-04-01,BAFA пограничная цена,Menge,330108.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-05-01,BAFA пограничная цена,Preis Euro/TJ,16.112731447152328,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-05-01,BAFA пограничная цена,Menge,364122.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-06-01,BAFA пограничная цена,Preis Euro/TJ,16.961466040001778,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-06-01,BAFA пограничная цена,Menge,337235.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-07-01,BAFA пограничная цена,Preis Euro/TJ,15.452131482802486,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-07-01,BAFA пограничная цена,Menge,368687.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-08-01,BAFA пограничная цена,Preis Euro/TJ,16.76333225343108,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-08-01,BAFA пограничная цена,Menge,348797.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-09-01,BAFA пограничная цена,Preis Euro/TJ,16.163176223642783,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-09-01,BAFA пограничная цена,Menge,335392.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-10-01,BAFA пограничная цена,Preis Euro/TJ,13.404398484258243,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-10-01,BAFA пограничная цена,Menge,395318.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-11-01,BAFA пограничная цена,Preis Euro/TJ,13.75118757890079,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-11-01,BAFA пограничная цена,Menge,384185.0,ТДж,egas_aufkommen_export_1999.xlsx,
2015-12-01,BAFA пограничная цена,Preis Euro/TJ,12.798325753612106,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2015-12-01,BAFA пограничная цена,Menge,397552.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-01-01,BAFA пограничная цена,Preis Euro/TJ,13.941786737332231,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-01-01,BAFA пограничная цена,Menge,372836.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-02-01,BAFA пограничная цена,Preis Euro/TJ,15.372956275681625,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-02-01,BAFA пограничная цена,Menge,347038.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-03-01,BAFA пограничная цена,Preis Euro/TJ,14.59806551247663,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-03-01,BAFA пограничная цена,Menge,369090.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-04-01,BAFA пограничная цена,Preis Euro/TJ,16.59758720831546,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-04-01,BAFA пограничная цена,Menge,324023.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-05-01,BAFA пограничная цена,Preis Euro/TJ,16.527756031170586,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-05-01,BAFA пограничная цена,Menge,332108.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-06-01,BAFA пограничная цена,Preis Euro/TJ,21.397004571489422,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-06-01,BAFA пограничная цена,Menge,262934.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-07-01,BAFA пограничная цена,Preis Euro/TJ,22.380651912955155,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-07-01,BAFA пограничная цена,Menge,259912.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-08-01,BAFA пограничная цена,Preis Euro/TJ,26.024817294608503,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-08-01,BAFA пограничная цена,Menge,221942.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-09-01,BAFA пограничная цена,Preis Euro/TJ,26.172671651937456,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-09-01,BAFA пограничная цена,Menge,223592.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-10-01,BAFA пограничная цена,Preis Euro/TJ,19.80134551713307,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-10-01,BAFA пограничная цена,Menge,311999.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-11-01,BAFA пограничная цена,Preis Euro/TJ,19.361517923631585,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-11-01,BAFA пограничная цена,Menge,330346.0,ТДж,egas_aufkommen_export_1999.xlsx,
2010-12-01,BAFA пограничная цена,Preis Euro/TJ,17.035766049961634,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2010-12-01,BAFA пограничная цена,Menge,375328.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-01-01,BAFA пограничная цена,Preis Euro/TJ,12.054821317227635,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-01-01,BAFA пограничная цена,Menge,327172.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-02-01,BAFA пограничная цена,Preis Euro/TJ,13.276127525151974,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-02-01,BAFA пограничная цена,Menge,301368.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-03-01,BAFA пограничная цена,Preis Euro/TJ,13.225012309207289,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-03-01,BAFA пограничная цена,Menge,304650.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-04-01,BAFA пограничная цена,Preis Euro/TJ,14.471555604115194,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-04-01,BAFA пограничная цена,Menge,283729.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-05-01,BAFA пограничная цена,Preis Euro/TJ,14.570133178183468,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-05-01,BAFA пограничная цена,Menge,281878.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-06-01,BAFA пограничная цена,Preis Euro/TJ,16.866991159233137,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-06-01,BAFA пограничная цена,Menge,251675.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-07-01,BAFA пограничная цена,Preis Euro/TJ,17.59146737142655,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
2005-07-01,BAFA пограничная цена,Menge,254271.0,ТДж,egas_aufkommen_export_1999.xlsx,
2005-08-01,BAFA пограничная цена,Preis Euro/TJ,18.72302400863232,EUR/ТДж,egas_aufkommen_export_1999.xlsx,вычислено C/B*1000
