дата,ряд,показатель,значение,единица,источник_файл,флаг
2021-01-01,Годовые отчёты ANRE,Средняя цена поставки э/э потребителям без НДС,154.0,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2022-01-01,Годовые отчёты ANRE,Средняя цена поставки э/э потребителям без НДС,242.8,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2023-01-01,Годовые отчёты ANRE,Средняя цена поставки э/э потребителям без НДС,290.9,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2024-01-01,Годовые отчёты ANRE,Средняя цена поставки э/э потребителям без НДС,228.0,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2025-01-01,Годовые отчёты ANRE,Средняя цена поставки э/э потребителям без НДС,366.6,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2020-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,97.3,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2021-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,104.1,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2022-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,173.0,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2023-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,178.7,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2024-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,167.8,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2025-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,238.7,бань/кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2025-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4710.1,млн кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2024-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4626.1,млн кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2023-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4333.1,млн кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2022-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4512.9,млн кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
2021-01-01,Годовые отчёты ANRE,Закупка э/э лицензиатами всего,4591.7,млн кВт·ч,Raportul de activitate 2025.pdf,"Табл. 2, стр. PDF 10"
