дата,ряд,показатель,значение,единица,источник_файл,флаг
2026-02-03,Постановления ANRE (HCA),"HCA 44 | цена газа, вход в сети транспортировки, без НДС",7906,лей/1000 м³,HCA nr. 44 din 03.02.2026.pdf,"HCA nr. 44 din 03.02.2026.pdf, приложение"
2026-02-03,Постановления ANRE (HCA),"HCA 44 | цена газа, выход из сетей транспортировки, без НДС",8270,лей/1000 м³,HCA nr. 44 din 03.02.2026.pdf,"HCA nr. 44 din 03.02.2026.pdf, приложение"
2026-02-03,Постановления ANRE (HCA),"HCA 44 | цена газа, выход из распределит. сетей высокого давления, без НДС",8365,лей/1000 м³,HCA nr. 44 din 03.02.2026.pdf,"HCA nr. 44 din 03.02.2026.pdf, приложение"
2026-02-03,Постановления ANRE (HCA),"HCA 44 | цена газа, выход из распределит. сетей среднего давления, без НДС",9533,лей/1000 м³,HCA nr. 44 din 03.02.2026.pdf,"HCA nr. 44 din 03.02.2026.pdf, приложение"
2026-02-03,Постановления ANRE (HCA),"HCA 44 | цена газа, выход из распределит. сетей низкого давления, без НДС",13353,лей/1000 м³,HCA nr. 44 din 03.02.2026.pdf,"HCA nr. 44 din 03.02.2026.pdf, приложение"
2026-04-01,Постановления ANRE (HCA),"HCA 214 от 25.03.2026 | тариф на передачу э/э Moldelectrica, без НДС",245,лей/МВт·ч,HCA nr. 214 din 25.03.2026,"HCA nr. 214 din 25.03.2026, п. 1 (файл в наборе назван 24.03.2026 - ошибка имени файла)"
