дата,ряд,показатель,значение,единица,источник_файл,флаг
2014-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,26428.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,12250.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,112652.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,4288.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,34197.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,34768.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,27265.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,12134.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,117162.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,3140.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,35105.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,37565.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,29214.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,12138.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,123235.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,4391.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,35062.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,39293.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,31991.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,12498.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,129394.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,3337.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,38157.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,42124.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,32913.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,12863.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,122999.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,4299.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,35868.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,42632.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,27184.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,13016.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,119736.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,3258.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,36548.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,39634.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,27612.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,12684.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,130658.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,3837.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,41782.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,44648.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,26837.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,13554.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,116126.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,2707.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,29774.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,46587.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,23039.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,14019.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,110361.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,2236.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,24264.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,47365.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,22865.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,13628.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Total,114740.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Carbune,2235.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Gaz natural,30775.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Produse petroliere,46396.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Biocombustibili si deseuri,20766.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,CONSUMUL INTERN BRUT | Energie electrica,14568.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",20760.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",96.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",18220.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",1641.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",518.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",285.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",19579.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",72.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",17310.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",1522.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",400.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",275.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",18672.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",74.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",16768.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",1452.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",256.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",122.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",18289.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",348.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",15938.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",1499.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",336.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",168.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",18765.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",80.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",16577.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",1320.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",567.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",221.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",17380.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",70.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",15309.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",946.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",862.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",193.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",17732.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",74.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",15480.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",1208.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",812.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",158.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",17165.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",74.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",15039.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",1117.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",731.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",204.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",18009.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",72.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",15930.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",836.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",918.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",253.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",16269.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",5.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",14627.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",360.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",875.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",402.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",16272.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",4.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",14737.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",318.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",845.0,ТДж,ENE020300_20260809-014024.xlsx,
2020-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",368.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",17872.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",5.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",15588.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",860.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",861.0,ТДж,ENE020300_20260809-014024.xlsx,
2021-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",558.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",15625.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",7.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",10151.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",3437.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",1186.0,ТДж,ENE020300_20260809-014024.xlsx,
2022-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",844.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",15495.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",4.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",8374.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",4598.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",990.0,ТДж,ENE020300_20260809-014024.xlsx,
2023-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",1529.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Total",16657.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Carbune",5.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Gaz natural",13224.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Produse petroliere",460.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Biocombustibili si deseuri",623.0,ТДж,ENE020300_20260809-014024.xlsx,
2024-01-01,НБС ENE020300 энергобаланс,"Transformare, intrari | Energie electrica",2345.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",16705.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",831.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3835.0,ТДж,ENE020300_20260809-014024.xlsx,
2010-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",12039.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",15831.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",770.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3659.0,ТДж,ENE020300_20260809-014024.xlsx,
2011-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",11402.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",15026.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",779.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Biocombustibili si deseuri",13.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3358.0,ТДж,ENE020300_20260809-014024.xlsx,
2012-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",10876.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",14692.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",775.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Biocombustibili si deseuri",16.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3261.0,ТДж,ENE020300_20260809-014024.xlsx,
2013-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",10640.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",14655.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",710.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Biocombustibili si deseuri",8.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3471.0,ТДж,ENE020300_20260809-014024.xlsx,
2014-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",10466.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",14122.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",483.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Biocombustibili si deseuri",13.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3584.0,ТДж,ENE020300_20260809-014024.xlsx,
2015-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",10042.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",14495.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",607.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Biocombustibili si deseuri",16.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3266.0,ТДж,ENE020300_20260809-014024.xlsx,
2016-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",10606.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",14130.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",635.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Biocombustibili si deseuri",14.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3230.0,ТДж,ENE020300_20260809-014024.xlsx,
2017-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",10251.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",14464.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Produse petroliere",354.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Biocombustibili si deseuri",12.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie electrica",3440.0,ТДж,ENE020300_20260809-014024.xlsx,
2018-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Energie termica",10658.0,ТДж,ENE020300_20260809-014024.xlsx,
2019-01-01,НБС ENE020300 энергобаланс,"Transformare, iesiri | Total",13281.0,ТДж,ENE020300_20260809-014024.xlsx,
