дата,ряд,показатель,значение,единица,источник_файл,флаг
2018-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,19340.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,19110.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,19156.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,52424.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,131214.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2018-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,164042.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,167213.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,128858.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,117223.5,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,59048.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-05-01,НБС ENE010100 электроэнергия помесячно,Producerea,47630.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-06-01,НБС ENE010100 электроэнергия помесячно,Producerea,23338.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,17652.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,12598.5,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,20258.8,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,50966.8,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,112892.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2019-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,134939.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,133546.5,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,117090.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,106650.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,59937.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-05-01,НБС ENE010100 электроэнергия помесячно,Producerea,44522.2,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-06-01,НБС ENE010100 электроэнергия помесячно,Producerea,51885.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,22306.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,16854.5,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,80818.2,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,247967.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,136048.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2020-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,166525.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,162667.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,164333.0,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,162992.6,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,88815.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-05-01,НБС ENE010100 электроэнергия помесячно,Producerea,45887.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-06-01,НБС ENE010100 электроэнергия помесячно,Producerea,27714.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-07-01,НБС ENE010100 электроэнергия помесячно,Producerea,19458.1,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-08-01,НБС ENE010100 электроэнергия помесячно,Producerea,15028.8,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-09-01,НБС ENE010100 электроэнергия помесячно,Producerea,17628.8,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-10-01,НБС ENE010100 электроэнергия помесячно,Producerea,63343.7,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-11-01,НБС ENE010100 электроэнергия помесячно,Producerea,132496.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2021-12-01,НБС ENE010100 электроэнергия помесячно,Producerea,144925.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2022-01-01,НБС ENE010100 электроэнергия помесячно,Producerea,165348.9,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2022-02-01,НБС ENE010100 электроэнергия помесячно,Producerea,124282.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2022-03-01,НБС ENE010100 электроэнергия помесячно,Producerea,137072.4,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
2022-04-01,НБС ENE010100 электроэнергия помесячно,Producerea,41488.3,МВт·ч,ENE010100_20260809-013935 (2).xlsx,
