дата,ряд,показатель,значение,единица,источник_файл,флаг
2010-08-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,23771795.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-09-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,11888618.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-09-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,30659756.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-10-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,27584174.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-10-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,70460841.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-11-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,28766990.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-11-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,74594465.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-12-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,54394571.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-12-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,141592339.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-01-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,52087561.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-01-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,156772119.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-02-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,42228791.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-02-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,122468334.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-03-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,31788316.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-03-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,94480019.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-04-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,12974923.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-04-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,35206357.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-05-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,9394699.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-05-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,25580579.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-06-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,9680325.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-06-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,26801948.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-07-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,7110201.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-07-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,18346092.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-08-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,9207674.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-08-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,23771795.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-09-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,11888618.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-09-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,30659756.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-10-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,27584174.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-10-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,70460841.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-11-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,28766990.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-11-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,74594465.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-12-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,54394571.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-12-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,141592339.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-01-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,52087561.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-01-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,156772119.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-02-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,42228791.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-02-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,122468334.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-03-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,31788316.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-03-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,94480019.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-04-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,12974923.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-04-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,35206357.0,кг,TradeData_8_9_2026_21_11_8.csv,
2010-05-01,Comtrade импорт газа 271121 (месячный),Russian Federation | стоимость CIF,9394699.0,USD,TradeData_8_9_2026_21_11_8.csv,
2010-05-01,Comtrade импорт газа 271121 (месячный),Russian Federation | нетто-вес,25580579.0,кг,TradeData_8_9_2026_21_11_8.csv,
1995-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,102186800.0,USD,TradeData_8_9_2026_2_14_36.csv,
1995-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,102186800.0,USD,TradeData_8_9_2026_2_14_36.csv,
1996-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,118208800.0,USD,TradeData_8_9_2026_2_14_36.csv,
1996-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,118208800.0,USD,TradeData_8_9_2026_2_14_36.csv,
1998-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,106308496.0,USD,TradeData_8_9_2026_2_14_36.csv,
1998-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,106308496.0,USD,TradeData_8_9_2026_2_14_36.csv,
1999-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,95569712.0,USD,TradeData_8_9_2026_2_14_36.csv,
1999-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,95569712.0,USD,TradeData_8_9_2026_2_14_36.csv,
2000-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,79306848.0,USD,TradeData_8_9_2026_2_14_36.csv,
2000-01-01,Comtrade импорт газа 271121 (годовой),World | количество,712839393.0,кг,TradeData_8_9_2026_2_14_36.csv,
2000-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,712839393.0,кг,TradeData_8_9_2026_2_14_36.csv,
2000-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,78895549.0,USD,TradeData_8_9_2026_2_14_36.csv,
2000-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,707253846.0,кг,TradeData_8_9_2026_2_14_36.csv,
2000-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,707253846.0,кг,TradeData_8_9_2026_2_14_36.csv,
2001-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,89190720.0,USD,TradeData_8_9_2026_2_14_36.csv,
2001-01-01,Comtrade импорт газа 271121 (годовой),World | количество,780660999.0,кг,TradeData_8_9_2026_2_14_36.csv,
2001-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,780660999.0,кг,TradeData_8_9_2026_2_14_36.csv,
